overall,reviewText,summary,documents
5.0,I wasn't sure this would fit my razor and brush but it does and it looks snazzy on my bathroom countertop.,Good Product,"['nt', 'sure', 'would', 'fit', 'razor', 'brush', 'look', 'snazzy', 'bathroom', 'countertop']"
4.0,nice sturdy stand looks good on sink would give it a five but took awhile to get it could be amazon problem though,nice sturdy stand looks good on sink would give it ...,"['nice', 'sturdy', 'stand', 'look', 'good', 'sink', 'would', 'give', 'five', 'take', 'awhile', 'get', 'could', 'amazon', 'problem', 'though']"
5.0,this stand was built much more sturdy than i expected i am very happy with it :),Five Stars,"['stand', 'build', 'much', 'sturdy', 'expect', 'happy']"
5.0,Very nice set - does everything it is supposed to do. Parts are of great quality. I would strongly suggest to use two fine tweezers and some magnification glasses like these http://www.amazon.com/SE-MH1047L-Illuminated-Multi-Power-Magnifier/dp/B003UCODIA/ref=pd_sim_241_1?ie=UTF8&dpID=41clz7xpHNL&dpSrc=sims&preST=_AC_UL160_SR160%2C160_&refRID=1GNP8SJJZSCKGRFN02JK as well as a clean lint free workplace surface. The pre installed glue is of great quality and the finest hair can stick to it during the installation process.,Great quality parts - installation requires experience and patience,"['nice', 'set', 'everything', 'suppose', 'part', 'great', 'quality', 'would', 'strongly', 'suggest', 'use', 'two', 'fine', 'tweezer', 'magnification', 'glass', 'like', 'http', 'semhlilluminatedmultipowermagnifierdpbucodiarefpdsim', 'ieutf', 'dpidclzxphnl', 'dpsrcsim', 'prestaculsr', 'c', 'refridgnpsjjzsckgrfnjk', 'well', 'clean', 'lint', 'free', 'workplace', 'surface', 'pre', 'instal', 'glue', 'great', 'quality', 'fine', 'hair', 'stick', 'installation', 'process']"
4.0,It's a razor/brush stand its works and looks good.  I did have to spread the brush fork a bit in order to accommodate my Simpson Case 1.  Np,It's a razor/brush stand its works and looks good. I did have to spread the brush fork ...,"['razorbrush', 'stand', 'work', 'look', 'good', 'spread', 'brush', 'fork', 'bit', 'order', 'modate', 'simpson', 'case', 'np']"
4.0,Good item. Very handy and easy to use. I like to have a bit heavy one that its perfect weight for me.,Good item. Very handy and easy to use,"['good', 'item', 'handy', 'easy', 'use', 'like', 'bit', 'heavy', 'one', 'perfect', 'weight']"
5.0,Good size.  The base is nice and heavy.  Fit my Baxter DE Razor and Brush perfectly.,Good size. The base is nice and heavy,"['good', 'size', 'base', 'nice', 'heavy', 'fit', 'baxter', 'de', 'razor', 'brush', 'perfectly']"
5.0,Even higher quality than I had expected. Completely happy with my purchase.,Great buy,"['even', 'high', 'quality', 'expect', 'completely', 'happy', 'purchase']"
5.0,"Beautiful finish, design and solidly made.  It looks great on my sink and does the job it was designed to do.","Beautiful finish, design and solidly made","['beautiful', 'finish', 'design', 'solidly', 'make', 'look', 'great', 'sink', 'job', 'design']"
5.0,"So after my wife complaining about the cost of MY razor blades every few months, I recently decided to go back to the basics of shaving with a safety razor and shaving mug with a badger brush.  Well once you have all of that you need a way to store it and let it air dry.  After pondering and searching for a couple of weeks I landed on the Perfecto Deluxe Chrome Razor & Brush Stand.  Simple design and elegant feel to this stand, and not overly priced like some.  This is a perfect addition to the ""Art of Manliness"" basic old school shaving regiment.  You won't be disappointed at all...",and not overly priced like some. This is a perfect addition to the ...,"['wife', 'complain', 'cost', 'razor', 'blade', 'every', 'month', 'recently', 'decide', 'go', 'back', 'basic', 'shaving', 'safety', 'razor', 'shaving', 'mug', 'badger', 'brush', 'well', 'need', 'way', 'store', 'let', 'air', 'dry', 'ponder', 'search', 'couple', 'week', 'land', 'perfecto', 'deluxe', 'chrome', 'razor', 'brush', 'stand', 'simple', 'design', 'elegant', 'feel', 'stand', 'overly', 'price', 'like', 'perfect', 'addition', 'art', 'manliness', 'basic', 'old', 'school', 'shaving', 'regiment', 'wo', 'nt', 'disappointed']"
5.0,"A very nice piece, especially for the price. I bought it not knowing if my husband's shaving brush (Tweezerman brand) would fit into it, but it does. It looks great and is solid. I would definitely recommend it.","A solid, useful stand","['nice', 'piece', 'especially', 'price', 'buy', 'know', 'husband', 'shaving', 'brush', 'tweezerman', 'brand', 'would', 'fit', 'look', 'great', 'solid', 'would', 'definitely', 'mend']"
5.0,The product arrived quickly and seems very well built.  Nice shiny chrome that's surprisingly easy to wipe clean.  I really like the way it showcases my razor and brush while keeping them dry at the same time,Great deal,"['product', 'arrive', 'quickly', 'seem', 'well', 'build', 'nice', 'shiny', 'chrome', 'surprisingly', 'easy', 'wipe', 'clean', 'really', 'like', 'way', 'showcase', 'razor', 'brush', 'keep', 'dry', 'time']"
4.0,"This miniature pillar of chrome is a hefty bugger -- a sure sign of quality in my book. It holds my brush upside down in style and with the greatest of ease. (It beats jamming it between the toothbrush holder and the back splash.) I gave it 4 stars because it does not hold my Gillette Sensor 3. The shape of the head causes the razor to slip, spin, and fall. This is not a big deal for my since my main purpose for purchasing was to free up my toothbrush holder.",It holds my brush upside down in style and with the greatest of ease,"['miniature', 'pillar', 'chrome', 'hefty', 'bugger', 'sure', 'sign', 'quality', 'book', 'hold', 'brush', 'upside', 'style', 'great', 'ease', 'beat', 'jamming', 'toothbrush', 'holder', 'back', 'splash', 'give', 'star', 'hold', 'gillette', 'sensor', 'shape', 'head', 'cause', 'razor', 'slip', 'spin', 'fall', 'big', 'deal', 'since', 'main', 'purpose', 'purchase', 'free', 'toothbrush', 'holder']"
5.0,Great Stand,Five Stars,"['great', 'stand']"
5.0,Item arrived smoothly. Pops should like it for Xmas,Pops should like it for Xmas,"['item', 'arrive', 'smoothly', 'pop', 'like', 'xmas']"
5.0,I bought this to hold my husband's razor and brush and it is perfect. He loves it. Sturdy and elegantly simple design holds his shaving items so his brush dries completely and his razor is safely suspended. If you or your man have nowhere to put a razor and brush look no further!,Perfect Stand!,"['buy', 'hold', 'husband', 'razor', 'brush', 'perfect', 'love', 'sturdy', 'elegantly', 'simple', 'design', 'hold', 'shaving', 'item', 'brush', 'dry', 'completely', 'razor', 'safely', 'suspend', 'man', 'nowhere', 'put', 'razor', 'brush', 'look']"
5.0,Quality product,Five Stars,"['quality', 'product']"
5.0,"Awesome quality, looks very presentable having it on the counter with my matching silver razor..the price is amazing for what it is!",Beautiful show piece,"['awesome', 'quality', 'look', 'presentable', 'counter', 'matching', 'silver', 'razor', 'price', 'amazing']"
5.0,"This is a sturdy, stable, good-looking stand that matches the looks and quality of far more expensive brands - and it holds my Merkur DE razor and new brush perfectly.  Looked at a variety of stands, on line and in stores - this one beats them all.  Very pleased and would highly recommend this stand.","This is a sturdy, stable","['sturdy', 'stable', 'goodlooke', 'stand', 'match', 'look', 'quality', 'far', 'expensive', 'brand', 'hold', 'merkur', 'de', 'razor', 'new', 'brush', 'perfectly', 'look', 'variety', 'stand', 'line', 'store', 'one', 'beat', 'pleased', 'would', 'highly', 'mend', 'stand']"
4.0,nice,Four Stars,['nice']
5.0,As expected!,Five Stars,['expect']
4.0,"This is a very nice cost effective stand.  It's not fancy but it has a nice sturdy and heavy base, which makes it stable and easy to put my razor and brush on/off.",Great Value!,"['nice', 'cost', 'effective', 'stand', 'fancy', 'nice', 'sturdy', 'heavy', 'base', 'make', 'stable', 'easy', 'put', 'razor', 'brush', 'onoff']"
5.0,well built.,Five Stars,"['well', 'build']"
5.0,Quality Quality Quality! This stand is top notch!,Five Stars,"['quality', 'quality', 'quality', 'stand', 'top', 'notch']"
5.0,A sturdy stand. Holds my brush and razor in perfect balance. I don't have to worry it will fall over when I remove either the brush or razor.,My first stand,"['sturdy', 'stand', 'hold', 'brush', 'razor', 'perfect', 'balance', 'nt', 'worry', 'fall', 'remove', 'either', 'brush', 'razor']"
5.0,"Used these for a bridal shower. Attached to ""Keys to a Happy Marriage"" tags. They were perfect for the project. They are solid and nice keys.",Loved the keys,"['use', 'bridal', 'shower', 'attach', 'key', 'happy', 'marriage', 'tags', 'perfect', 'project', 'solid', 'nice', 'key']"
5.0,Works perfectly for my badger brush and my Merkur 33C safety razor,Five Stars,"['work', 'perfectly', 'badger', 'brush', 'merkur', 'c', 'safety', 'razor']"
5.0,Very good quality. It is solid and doesen't take too much room. It looks always new and well designed for this purpuse.,Very good quality. It is solid and doesen't take too ...,"['good', 'quality', 'solid', 'doese', 'nt', 'take', 'much', 'room', 'look', 'always', 'new', 'well', 'design', 'purpuse']"
4.0,Great item. Works exactly as advertised.,Excellent stand,"['great', 'item', 'work', 'exactly', 'advertise']"
5.0,excellent product !!!! heavy weighted base and good quality holder !!! love it !!,Five Stars,"['excellent', 'product', 'heavy', 'weighted', 'base', 'good', 'quality', 'holder', 'love']"
5.0,"This is a simple, yet practical stand. It is not fancy, but it does the job well, especially for the price. I'm very satisfied with this purchase because it helps to keep the shaving brush dry and the razor handy. Good investment.",Good small investment!,"['simple', 'yet', 'practical', 'stand', 'fancy', 'job', 'well', 'especially', 'price', 'satisfied', 'purchase', 'help', 'keep', 'shaving', 'brush', 'dry', 'razor', 'handy', 'good', 'investment']"
5.0,"Great weight! Just as expected, and as good as any high quality stand.",Five Stars,"['great', 'weight', 'expect', 'good', 'high', 'quality', 'stand']"
5.0,"I got this stand to use with a Merkur Long Handled Safety Razor and a shaving brush. I was concerned about the height of the stand and the width of the brush holder. The attached pictures include dimensions of the stand shown by the scale. I had to file a groove in my shaving brush for it to fit  on the stand. Overall, I'm very satisfied with the stand as it works very well.",Very satisfied with this shave stand,"['get', 'stand', 'use', 'merkur', 'long', 'handle', 'safety', 'razor', 'shaving', 'brush', 'concerned', 'height', 'stand', 'width', 'brush', 'holder', 'attach', 'picture', 'include', 'dimension', 'stand', 'show', 'scale', 'file', 'groove', 'shaving', 'brush', 'fit', 'stand', 'overall', 'satisfied', 'stand', 'work', 'well']"
5.0,Great quality! Fit is really good too for my small head.,Five Stars,"['great', 'quality', 'fit', 'really', 'good', 'small', 'head']"
5.0,"This chrome razor and brush stand has a good feel to it together with a nice weight.  The bottom of the stand is covered with a felt like material so as not to damage any surface the stand is put upon.  The brush and razor fit well into the stand and dry easily while on the stand.  Easy to use, looks good, feels good, supports your shaving equipment well and helps keep them dry when not in use.  Pleased to have bought this stand.",What's not to like?,"['chrome', 'razor', 'brush', 'stand', 'good', 'feel', 'together', 'nice', 'weight', 'bottom', 'stand', 'cover', 'feel', 'like', 'material', 'damage', 'surface', 'stand', 'put', 'upon', 'brush', 'razor', 'fit', 'well', 'stand', 'dry', 'easily', 'stand', 'easy', 'use', 'look', 'good', 'feel', 'good', 'support', 'shaving', 'equipment', 'well', 'help', 'keep', 'dry', 'use', 'pleased', 'buy', 'stand']"
5.0,"This stand works perfectly for me and fits the d&eacute;cor of our bathroom as well as shows off my brush and razor.  The knurled post matches my razor's handle, and my brush dries well.  I also like how it organizes my kit without adding a cluttered look to the sink area.","Great stand, fantastic price!","['stand', 'work', 'perfectly', 'fit', 'eacute', 'cor', 'bathroom', 'well', 'show', 'brush', 'razor', 'knurle', 'post', 'match', 'razor', 'handle', 'brush', 'dry', 'well', 'also', 'like', 'organize', 'kit', 'without', 'add', 'clutter', 'look', 'sink', 'area']"
5.0,The stand looks great and is very stable. The thing missing from the description is a sense of scale. I've attached aa photo of the stand in action.,"Great stand, very stable. Photo for scale.","['stand', 'look', 'great', 'stable', 'thing', 'miss', 'description', 'sense', 'scale', 'attach', 'aa', 'photo', 'stand', 'action']"
5.0,Beautiful product. Works perfectly.,Five Stars,"['beautiful', 'product', 'work', 'perfectly']"
5.0,It's amazing! :D,Five Stars,['amazing']
4.0,Works very well.,Four Stars,"['work', 'well']"
5.0,Very nice!!! I was impressed by how solid and sturdy it was. Very polished finish. Great product for the price,Impressed!!!,"['nice', 'impress', 'solid', 'sturdy', 'polished', 'finish', 'great', 'product', 'price']"
5.0,"I am very impressed with this razor stand. It is a high quality piece of equipment. It has a nice chrome finish, weighted bottom, and non-slip pad. The razor I purchased a few months ago came with a cheap metal stand that did not work very well.  My razor was constantly falling off. I started looking for a replacement stand almost immediately, and finally settled on this one. I wish I hadn't waited so long before purchasing this one, as it is a vast improvement over my original stand. Thank you Amazon and thank you Pop! Shop",It has a nice chrome finish,"['impress', 'razor', 'stand', 'high', 'quality', 'piece', 'equipment', 'nice', 'chrome', 'finish', 'weighted', 'bottom', 'nonslip', 'pad', 'razor', 'purchase', 'month', 'ago', 'come', 'cheap', 'metal', 'stand', 'work', 'well', 'razor', 'constantly', 'fall', 'start', 'look', 'replacement', 'stand', 'almost', 'immediately', 'finally', 'settle', 'one', 'wish', 'nt', 'wait', 'long', 'purchase', 'one', 'vast', 'improvement', 'original', 'stand', 'thank', 'amazon', 'thank', 'pop', 'shop']"
5.0,Very well made!  Works great.,Works great.,"['well', 'make', 'work', 'great']"
4.0,"Looks good, works as intended, just had it for a short while so not sure how it will hold up.","Looks good, works as intended","['look', 'good', 'work', 'intend', 'short', 'sure', 'hold']"
5.0,As described and on time,Five Stars,"['describe', 'time']"
5.0,The stand is very nice and sturdy. It appears to be made well.,Five Stars,"['stand', 'nice', 'sturdy', 'appear', 'make', 'well']"
5.0,Great weight and a classic look. Absolutely perfect.,Perfect,"['great', 'weight', 'classic', 'look', 'absolutely', 'perfect']"
5.0,Product as described and super fast shipping. A+,Five Stars,"['product', 'describe', 'super', 'fast', 'shipping']"
5.0,"As advertised. Feels heftier than I thought it looked. A nice feature about the base is that the bottom cushion pad is removable for cleaning in case it gets full of schmutz over time.

Good Seller as well - handled/shipped on time and not excessively packaged. Thanks for the thing!",Pretty good deal. Real nice.,"['advertise', 'feel', 'hefty', 'think', 'look', 'nice', 'feature', 'base', 'bottom', 'cushion', 'pad', 'removable', 'clean', 'case', 'get', 'full', 'schmutz', 'time', 'good', 'seller', 'well', 'handledshippe', 'time', 'excessively', 'package', 'thanks', 'thing']"
5.0,"This is a good quality stand! It's heavier than I expected, which is nice. It's a great way to store the razor and shave brush, and it looks classy.",This is a good quality stand,"['good', 'quality', 'stand', 'heavier', 'expect', 'nice', 'great', 'way', 'store', 'razor', 'shave', 'brush', 'look', 'classy']"
5.0,"A great stand for my DE razor and brush!  Keeps everything dry and clean, looks great, and feels sturdy enough to last decades.","Well built, attractive stand!","['great', 'stand', 'de', 'razor', 'brush', 'keep', 'everything', 'dry', 'clean', 'look', 'great', 'feel', 'sturdy', 'enough', 'last', 'decade']"
5.0,"Very Solid build, not flimsy or cheap feeling in any part and the finish is very clean. Does a superb job of holding my razor and brush, hasn't let me down yet, will update in a year. I recommend owning this to take care of your things and to make your hygiene area neat and american psycho looking","definitely buy one, maybe two?","['solid', 'build', 'flimsy', 'cheap', 'feel', 'part', 'finish', 'clean', 'superb', 'job', 'hold', 'razor', 'brush', 'nt', 'let', 'yet', 'update', 'year', 'mend', 'own', 'take', 'care', 'thing', 'make', 'hygiene', 'area', 'neat', 'american', 'psycho', 'look']"
5.0,"Looks great, fits well in the cubby hole at the bottom of my medicine cabinet where I keep my shaving items - very happy with this . . . much more so than with the shaving soap cup.","Looks great, fits well in the cubby hole at the ...","['look', 'great', 'fit', 'well', 'cubby', 'hole', 'bottom', 'medicine', 'cabinet', 'keep', 'shaving', 'item', 'happy', 'much', 'shaving', 'soap', 'cup']"
4.0,"Classic style, sturdy construction, works well.",Good quality overall,"['classic', 'style', 'sturdy', 'construction', 'work', 'well']"
5.0,"Doesn't tip, holds things... looks good and feels well made.  Fits the Escali 100% Pure Badger Shaving Brush like it was made for it.",What you probably want,"['nt', 'tip', 'hold', 'thing', 'look', 'good', 'feel', 'well', 'make', 'fit', 'escali', 'pure', 'badger', 'shaving', 'brush', 'like', 'make']"
2.0,"Looks nice, brush fits fine but it will not hold my Mach III Gillette razor. It falls off the slick, sloping hook.  that is a pretty common shaver.  I had to return the stand",Nicely made...did not fit my Mach III,"['look', 'nice', 'brush', 'fit', 'fine', 'hold', 'mach', 'iii', 'gillette', 'razor', 'falls', 'slick', 'sloping', 'hook', 'pretty', 'common', 'shaver', 'return', 'stand']"
5.0,as described  fast shipping,I can see it,"['describe', 'fast', 'shipping']"
5.0,Grant stand! Really solid and has a nice weight to it.  A comparable stand at art of shaving would run $60.,Really solid and has a nice weight to it,"['grant', 'stand', 'really', 'solid', 'nice', 'weight', 'comparable', 'stand', 'art', 'shaving', 'would', 'run']"
5.0,Great product for the price.,Great product,"['great', 'product', 'price']"
5.0,"Very happy with the product, exactly as described and my razor and brush look pretty slick with it.",Five Stars,"['happy', 'product', 'exactly', 'describe', 'razor', 'brush', 'look', 'pretty', 'slick']"
5.0,"Nice quality, sturdiness and look.  Holds my brush and razor well.",Five Stars,"['nice', 'quality', 'sturdiness', 'look', 'hold', 'brush', 'razor', 'well']"
5.0,"This is a great item to have. It helps keep my sink area organized. I don't have a safety razor, but use the typical razor most people use now a days (I don't know what they're actually called, so I'll say multi-blade razor). It still holds that nicely. I know this is designed for the safety razor, but if you use the same type of razor that I do, then it will hold that as well.",This is a great item to have,"['great', 'item', 'help', 'keep', 'sink', 'area', 'organize', 'nt', 'safety', 'razor', 'use', 'typical', 'razor', 'people', 'use', 'day', 'nt', 'know', 'actually', 'call', 'say', 'multiblade', 'razor', 'still', 'hold', 'nicely', 'know', 'design', 'safety', 'razor', 'use', 'type', 'razor', 'hold', 'well']"
5.0,I use this to hold me EJ DE razor and a cheapo brush. It matches the razor perfectly and complements my counter top. The base is sturdy and heavy enough to prevent tipping for the most part.,Solid stand,"['use', 'hold', 'ej', 'de', 'razor', 'cheapo', 'brush', 'match', 'razor', 'perfectly', 'complement', 'counter', 'top', 'base', 'sturdy', 'heavy', 'enough', 'prevent', 'tip', 'part']"
5.0,"This worked perfectly for my phone, fixed the problem instantly without any extra hassle! It was so easy to replace the broken charge cover flap with this new one! I'm holding on the the camera cover in case I have any issues with that! Will definitely buy again if the need arises.",It was so easy to replace the broken charge cover flap with this ...,"['work', 'perfectly', 'phone', 'fix', 'problem', 'instantly', 'without', 'extra', 'hassle', 'easy', 'replace', 'break', 'charge', 'cover', 'flap', 'new', 'one', 'hold', 'camera', 'cover', 'case', 'issue', 'definitely', 'buy', 'need', 'arise']"
5.0,Just what I needed. It arrived as expected was in perfect shape. Would recommend  the product and the supplier.,It arrived as expected was in perfect shape. Would recommend the product and the supplier,"['need', 'arrive', 'expect', 'perfect', 'shape', 'would', 'mend', 'product', 'supplier']"
5.0,Looks great. High quality.,Five Stars,"['look', 'great', 'high', 'quality']"
5.0,Excellent quality. Sturdy. Won't tip.,Five Stars,"['excellent', 'quality', 'sturdy', 'wo', 'nt', 'tip']"
4.0,nice piece for my bathroom. The only thing I would change is to make the razor side larger to fit modern razors- my Gillette doesn't fit.,Looks very nice and my wife doesn't mind it being on the counter!,"['nice', 'piece', 'bathroom', 'thing', 'would', 'change', 'make', 'razor', 'side', 'large', 'fit', 'modern', 'razor', 'gillette', 'nt', 'fit']"
5.0,Great stand amazing finash. Holds everything in well.,Just buy it trust me,"['great', 'stand', 'amazing', 'finash', 'hold', 'everything', 'well']"
4.0,It's only for one tipe of razor,Four Stars,"['one', 'tipe', 'razor']"
5.0,"Love the the stand!!! It goes well with my Heavyweight All Metal Chrome Trac II Comptible Razor. It was deliver on time did not have any issues with it and it came with everything as stated in the product description. I would highly recommend this product since one is not expensive, two quality of the product is good, and three it looks great!",Awesome Product... Must Buy!!!,"['love', 'stand', 'go', 'well', 'heavyweight', 'metal', 'chrome', 'trac', 'ii', 'comptible', 'razor', 'deliver', 'time', 'issue', 'come', 'everything', 'state', 'product', 'description', 'would', 'highly', 'mend', 'product', 'since', 'one', 'expensive', 'two', 'quality', 'product', 'good', 'three', 'look', 'great']"
4.0,"Pretty good product for the price.  My brush fits perfect however, my razor does not fit at all...  I use the Pro Glide series.",Pretty good product for the price,"['pretty', 'good', 'product', 'price', 'brush', 'fit', 'perfect', 'however', 'razor', 'fit', 'use', 'pro', 'glide', 'series']"
5.0,"As far as stands go, it delivers the goods.  It functions exactly as advertised.",Five Stars,"['far', 'stand', 'go', 'deliver', 'good', 'function', 'exactly', 'advertise']"
5.0,"Arrived in good order, exactly as described. It has a bit more of an industrial look to it when seen in person (not a bad thing). Looks like a good thick layer of chrome, too. The brush hanger is just a bit too narrow for the groove in the handle of my starter brush (Art of Shaving), but I've been looking for a replacement anyway. In the meantime it still looks 100% better perched on this.",Lookin' good...,"['arrive', 'good', 'order', 'exactly', 'describe', 'bit', 'industrial', 'look', 'see', 'person', 'bad', 'thing', 'look', 'like', 'good', 'thick', 'layer', 'chrome', 'brush', 'hanger', 'bit', 'narrow', 'groove', 'handle', 'starter', 'brush', 'art', 'shaving', 'look', 'replacement', 'anyway', 'meantime', 'still', 'look', 'well', 'perch']"
5.0,Everything it's supposed to be.,Five Stars,"['everything', 'suppose']"
5.0,It's looks great. It's well built.,Its a stand! Thats all folks.,"['look', 'great', 'well', 'build']"
5.0,A home for my brush and razor,Five Stars,"['home', 'brush', 'razor']"
4.0,As advertised.,Happy with purchase,['advertise']
4.0,Very nice stand! Just what I was looking for.,Very nice stand! Just what I was looking for,"['nice', 'stand', 'look']"
4.0,Great product and service!,Looks great!,"['great', 'product', 'service']"
5.0,"Nothing negative I can say about i. Its chrome, it holds my razor and my shaving brush perfectly.",Five Stars,"['nothing', 'negative', 'say', 'chrome', 'hold', 'razor', 'shaving', 'brush', 'perfectly']"
5.0,"This is my first razor and brush stand, and I'm glad it is.

The Good:
-Build quality is excellent. The entire item feels premium and looks great.
-Nice weight with center of gravity right at the bottom. Combined with a non-slip surface, you got a stand that won't tip over easily.
-Awesome price, especially considering the build quality.

The Bad:
-None that I can think of.

Verdict:
This is a no brainer. Unless you have a very specific need for something different, you can't go wrong with this.",Highly recommended!,"['first', 'razor', 'brush', 'stand', 'glad', 'good', 'build', 'quality', 'excellent', 'entire', 'item', 'feel', 'premium', 'look', 'great', 'nice', 'weight', 'center', 'gravity', 'right', 'bottom', 'combine', 'nonslip', 'surface', 'get', 'stand', 'wo', 'nt', 'tip', 'easily', 'awesome', 'price', 'especially', 'consider', 'build', 'quality', 'bad', 'none', 'think', 'verdict', 'brainer', 'unless', 'specific', 'need', 'something', 'different', 'ca', 'nt', 'go', 'wrong']"
4.0,"This stand is exactly what I needed.  The gauge on the holder is much thicker than the photo reveals.  Very sturdy and remains standing due to the weighted non-skid base.  The knurled main shaft is nice to the touch, but I doubt I'll ever need to move the stand; it stays in place.",Does what it says; stays in place and looks sharp with a brush and razor.,"['stand', 'exactly', 'need', 'gauge', 'holder', 'much', 'thick', 'photo', 'reveal', 'sturdy', 'remain', 'stand', 'due', 'weighted', 'nonskid', 'base', 'knurle', 'main', 'shaft', 'nice', 'touch', 'doubt', 'ever', 'need', 'move', 'stand', 'stay', 'place']"
5.0,As advertised.,Five Stars,['advertise']
5.0,"Very reasonably priced.
Excellent for my Merkur Short Handled Safety Razor",Great Item,"['reasonably', 'price', 'excellent', 'merkur', 'short', 'handle', 'safety', 'razor']"
5.0,"Everything is high quality here. Chrome finish is high gloss. I just put on some Non Abrasive chrome polish or auto wax now and then to make it easy to remove water spots easier and make sure it does not rust. All my brushes fit nice as well as my Schick Hydro. As  another reviewer said there is a rubber pad on the bottom, it does not move. I am surprised to see it at this price. At what a high quality brush costs, this is a must. I am doing a update. You can adjust this if brush handle is too big. I found a screw driver handle that was just a little tight between the prongs. Be very careful it spreads apart very easy even when you do not think it is.  Look for something that's barely snug. Now the prongs themselves. Find a sharp right angle counter edge and raise each one separately a little at a time pressing down. Go back and forth till your brush does not slide off. Hope this helps.",How to adjust for handle size,"['everything', 'high', 'quality', 'chrome', 'finish', 'high', 'gloss', 'put', 'non', 'abrasive', 'chrome', 'polish', 'auto', 'wax', 'make', 'easy', 'remove', 'water', 'spot', 'easy', 'make', 'sure', 'rust', 'brush', 'fit', 'nice', 'well', 'schick', 'hydro', 'another', 'reviewer', 'say', 'rubber', 'pad', 'bottom', 'move', 'surprised', 'see', 'price', 'high', 'quality', 'brush', 'cost', 'must', 'update', 'adjust', 'brush', 'handle', 'big', 'find', 'screw', 'driver', 'handle', 'little', 'tight', 'prong', 'careful', 'spread', 'apart', 'easy', 'even', 'think', 'look', 'something', 'barely', 'snug', 'prong', 'find', 'sharp', 'right', 'angle', 'counter', 'edge', 'raise', 'one', 'separately', 'little', 'time', 'press', 'go', 'back', 'forth', 'till', 'brush', 'slide', 'hope', 'help']"
5.0,"This is a very nicely finished brush and razor stand. It is also well balanced with a nicely weighted base. It looks like it will hold about any brush, whereas the razor side will keep a great deal of different styles of razors. I really think this is a quality piece, and I liked it enough to purchase 2 of them, one for a gift.",Perfecto Deluxe Chrome Razor and Brush Stand... Perfect in every way!,"['nicely', 'finish', 'brush', 'razor', 'stand', 'also', 'well', 'balance', 'nicely', 'weighted', 'base', 'look', 'like', 'hold', 'brush', 'whereas', 'razor', 'side', 'keep', 'great', 'deal', 'different', 'style', 'razor', 'really', 'think', 'quality', 'piece', 'like', 'enough', 'purchase', 'one', 'gift']"
5.0,Works as advertised.  I use it with the Escali brush and a Merkur long handled razor. The razor seems to tilt slightly but it seems like any razor classic safety razor would tilt based on the width of the blade.,Works and looks great.,"['work', 'advertise', 'use', 'escali', 'brush', 'merkur', 'long', 'handle', 'razor', 'razor', 'seem', 'tilt', 'slightly', 'seem', 'like', 'razor', 'classic', 'safety', 'razor', 'would', 'tilt', 'base', 'width', 'blade']"
5.0,Great product! Fast shipping! A++++,Five Stars,"['great', 'product', 'fast', 'shipping']"
5.0,Great,Five Stars,['great']
5.0,"Love these planners! Made with such Quality!!! Lasting material, perfect size, front cover is so durable and very useful. I love the layout, the monthly overviews especially, just everything!!!
-FIVE STARS!- TIMES TWO!! ;)  beautiful.",Beautiful! Throughout!,"['love', 'planner', 'make', 'quality', 'last', 'material', 'perfect', 'size', 'front', 'cover', 'durable', 'useful', 'love', 'layout', 'monthly', 'overviews', 'especially', 'everything', 'five', 'star', 'time', 'two', 'beautiful']"
5.0,Fantastic holder.  It's solid and I have no worries that it will topple over with my chrome plated safety razor and brush on it.,Fantastic holder. It's solid and I have no worries ...,"['fantastic', 'holder', 'solid', 'worry', 'topple', 'chrome', 'plate', 'safety', 'razor', 'brush']"
5.0,"Beautiful wrappers, they looked great and easy to assemble.",Five Stars,"['beautiful', 'wrapper', 'look', 'great', 'easy', 'assemble']"
5.0,This is a quality product.  I especially like the weighted base which has a layer of a rubber like substance on the bottom to prevent the stand from sliding around.  My only regret is that I didn't order this stand a long time ago.,"Don't think about it, just buy it.","['quality', 'product', 'especially', 'like', 'weighted', 'base', 'layer', 'rubber', 'like', 'substance', 'bottom', 'prevent', 'stand', 'slide', 'around', 'regret', 'nt', 'order', 'stand', 'long', 'time', 'ago']"
5.0,Fularous! Not to be used around prudes!,Five Stars,"['fularous', 'use', 'around', 'prude']"
4.0,Very nice looking and seems to be well made.  Matches my Merkur razor nicely.  Fits my old school brush as well...,Very nice!,"['nice', 'look', 'seem', 'well', 'make', 'match', 'merkur', 'razor', 'nicely', 'fit', 'old', 'school', 'brush', 'well']"
5.0,Excellent product for the price,Five Stars,"['excellent', 'product', 'price']"
5.0,Stand looks good shd serves it's purpose well. Definitely recommend!,Five Stars,"['stand', 'look', 'good', 'shd', 'serve', 'purpose', 'well', 'definitely', 'mend']"
5.0,"The stand arrived as advertised.  It is exactly what I wanted, and will work well with the other items in my shaving set.","Well designed, good price.","['stand', 'arrive', 'advertise', 'exactly', 'want', 'work', 'well', 'item', 'shaving', 'set']"
5.0,Loved the stand so much that we ordered a second one for our home in Florida!,Five Stars,"['love', 'stand', 'much', 'order', 'second', 'one', 'home', 'florida']"
5.0,A great stand for a great price . The finish is nice and it is very sturdy.....what more can I say.,A great stand,"['great', 'stand', 'great', 'price', 'finish', 'nice', 'sturdy', 'say']"
